parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,tyityururru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,pirnku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,marlany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,tirna,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,marlany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,punarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngunytyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,wangutyarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,ngartan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,wangulyara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngartan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,wangulyara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,yurntalpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant mDD
mDD,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kamuru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngunytyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFeB,mama purlkanya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; close fBS
mBD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,yurntalpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; close fBD
mZS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,kurturtungkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,kurturtutya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,yukari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,kurturtungkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,kurturtutya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,yurntalpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant mFZD
mFZD,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,tyanartu-tyanartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant mMBD
mMBD,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,tyanartu-tyanartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,yamatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,yarruwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,yamatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,yarruwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHF,mingkayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHF,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,mingkayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,tyintangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,marityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,marutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,marityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,marutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWZ,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWZ,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWZ,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHB,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHB,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHZ,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHZ,tyuwari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHZ,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDHM,tyurntalarra,,,,PN3,bowern_austkin_nodate,"from sex-specific terms; ""woman who is man's potential co-parent-in-law"""
fB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,tyityururru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,pirnku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,marlany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,tirna,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,marlany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,punarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,ngunytyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,wangutyarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,ngartan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,wangulyara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,ngartan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,wangulyara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,yurntalpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant fSS
fSS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDS,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,kalipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,kurani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,nana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFB,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZ,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZ,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,kamuru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant mMB
fMZ,ngunytyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFeB,mama purlkanya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; close fBS
fBS,kurturtungkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBS,kurturtutya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBS,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant fBS
fBS,yukari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; not used as a term of address
fBD,kurturtungkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,kurturtutya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,yukari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,yurntalpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; close fBD
fZS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,yurntalpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,tyanartu-tyanartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,tyanartu-tyanartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZS,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZS,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant fFZS
fFZS,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZS,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZS,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,kungkangkatya minarlingkatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data; distant fMBS
fMBS,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,yamatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,yarruwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,yamatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,yarruwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHF,mingkayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHF,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHM,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHM,mingkayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHM,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWF,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWM,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWM,tyintangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWM,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBW,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBW,tyuwari,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; ""female's actual BW"""
fBW,yampulmarta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBW,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,marityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWB,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWB,marityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWB,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWB,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWZ,kurri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWZ,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWZ,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHB,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHB,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHZ,tyamirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHZ,tyuwari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHZ,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,mingkayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,yampulmarta,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; woman's first, special, or favourite sister-in-law or daughter-in-law"
fDH,mingkayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDH,tyintangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDH,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDH,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
