parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,ngarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,wungkurlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,wungkurlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,kurla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,marnu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,martu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,ngatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,papi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,tyatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,ngatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,papi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,ngatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,papi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,tyatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,tyatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,kurla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,pitharta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,ngutyirr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,pupi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,tyalatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,martu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngarntarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,wupatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBD,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZD,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBS,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZS,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,marrkutu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,yukuta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,marrkutu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,waputhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,pupi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,waputhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,ngarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,wungkurlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,wungkurlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,kurla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,marnu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,martu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,ngatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,papi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMF,tyatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,ngatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,papi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,ngatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,papi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDS,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDS,tyatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,tyatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFB,kurla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFB,pitharta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZ,ngutyirr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,pupi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,tyalatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMZ,martu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMZ,ngarntarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMZ,wupatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBS,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZS,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFBD,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMZD,puwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFBS,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZS,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZS,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,muwarnngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMZS,thapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,marrkutu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,yukuta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,marrkutu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHM,waputhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWF,pupi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWM,waputhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBW,kungi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWB,muwangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDH,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
