"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","nhuthi",,"male ego's older brother",,,,
"myB","kupaka",,"male ego's younger brother",,,,
"feB","nhuthi",,"female ego's older brother",,,,
"fyB","kupaka",,"female ego's younger brother",,,,
"meZ","kaku",,"male ego's older sister",,,,
"myZ","kupaka",,"male ego's younger sister",,,,
"feZ","kaku",,"female ego's older sister",,,,
"fyZ","kupaka",,"female ego's younger sister",,,,
"mF","apityi",,"male ego's father",,,,
"mM","lhuka",,"male ego's mother",,,,
"fF","apityi",,"female ego's father",,,,
"fM","lhuka",,"female ego's mother",,,,
"mS","piyaka, ardaka",,"male ego's son",,,,
"fS","wardu",,"female ego's son",,,,
"mD","piyaka, ardaka",,"male ego's daughter",,,,
"fD","wardu",,"female ego's daughter",,,,
"mSS","kadnhini",,"male ego's son's son",,,,
"mSD","kadnhini",,"male ego's son's daughter",,,,
"mDS","hanti",,"male ego's daughter's son",,,,
"mDD","hanti",,"male ego's daughter's daughter",,,,
"fSS","amanyi",,"female ego's son's son",,,,
"fSD","amanyi",,"female ego's son's daughter",,,,
"fDS","kadnhini",,"female ego's daughter's son",,,,
"fDD","kadnhini",,"female ego's daugher's daughter",,,,
"mFF","kadnhini",,"male ego's father‘s father",,,,
"mFM","amanyi",,"male ego's father's mother",,,,
"mMF","thanti",,"male ego's mother's father",,,,
"mMM","kadnhini",,"male ego's mother's mother",,,,
"fFF","kadnhini",,"female ego's father's father",,,,
"fFM","amanyi",,"female ego's father's mother",,,,
"fMF","thanti",,"female ego's mother's father",,,,
"fMM","kadnhini",,"female ego's mother's mother",,,,
"meZS","thidnara, kulakula",,"male ego's older sister's son",,,,
"myZS","thidnara, kulakula",,"male ego's younger sister's son",,,,
"feBS","kulakula",,"female ego's older brother's son",,,,
"fyBS","kulakula",,"female ego's younger brother's son",,,,
"feZS","wardu",,"female ego's older sister's son",,,,
"fyZS","wardu",,"female ego's younger sister's son",,,,
"feBD","kulakula, pariyarityi",,"female ego's older brother's daughter",,,,
"fyBD","kulakula, pariyarityi",,"female ego's younger brother's daughter",,,,
"feZD","wardu",,"female ego's older sister's daughter",,,,
"fyZD","wardu",,"female ego's younger sister's daughter",,,,
"mFeZ","ngawili",,"male ego's father's older sister",,,,
"mFyZ","ngawili",,"male ego's father's younger sister",,,,
"mMeB","kakaka",,"male ego's mother's older brother",,,,
"mMyB","kakaka",,"male ego's mother's younger brother",,,,
"fFeZ","ngawili",,"female ego's father's older sister",,,,
"fFyZ","ngawili",,"female ego's father's younger sister",,,,
"fMeB","kakaka",,"female ego's mother's older brother",,,,
"fMyB","kakaka",,"female ego's mother's younger brother",,,,
"mW","nhupa",,"male ego's wife",,,,
"fH","nhupa",,"female ego‘s husband",,,,
"mDH","wardu-wardu",,"male ego's daughter's husband",,,,
"mWF","thaRu",,"male ego's wife's father",,,,
"mWM","yampuwa",,"male ego's wife's mother",,,,
"mWB","yantiyanti",,"male ego's wife's brother",,,,
"fHF","thaRu",,"female ego's husband's father",,,,
"fHM","piyaka, ardaka",,"female ego's husband's mother",,,,
"fHZ","kadlari",,"female ego's husband's sister",,,,
"fBW","pilya",,"female ego's brother's wife",,,,
"mZH","kadlari",,"male ego's sister's husband",,,,
"fZH","imari",,"female ego's sister's husband",,,,
"mFBeS","nhuthi",,"male ego‘s father‘s brother‘s older son",,,,
"mFByS","kupaka",,"male ego‘s father‘s brother‘s younger son",,,,
"mFBeD","kaku",,"male ego‘s father‘s brother‘s older daughter",,,,
