parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"kaka, makulang, magulang",,male ego's older brother,,,Kroeber1919,
myB,"kaka, taimanghud",,male ego's younger brother,,,Kroeber1919,
feB,"kaka, makulang, magulang",,female ego's older brother,,,Kroeber1919,
fyB,"kaka, taimanghud",,female ego's younger brother,,,Kroeber1919,
meZ,kaka,,male ego's older sister,,,Kroeber1919,
myZ,kaka,,male ego's younger sister,,,Kroeber1919,
feZ,kaka,,female ego's older sister,,,Kroeber1919,
fyZ,kaka,,female ego's younger sister,,,Kroeber1919,
mF,ama,,male ego's father,,,Kroeber1919,
mM,ina,,male ego's mother,,,Kroeber1919,
fF,ama,,female ego's father,,,Kroeber1919,
fM,ina,,female ego's mother,,,Kroeber1919,
mS,"anak, bata-bata",,male ego's son,,,Kroeber1919,
fS,"anak, bata-bata",,female ego's son,,,Kroeber1919,
mD,"anak, bata-bata",,male ego's daughter,,,Kroeber1919,
fD,"anak, bata-bata",,female ego's daughter,,,Kroeber1919,
mFF,apo,,male ego's father‘s father,,,Kroeber1919,
mFM,apo,,male ego's father's mother,,,Kroeber1919,
mMF,apo,,male ego's mother's father,,,Kroeber1919,
mMM,apo,,male ego's mother's mother,,,Kroeber1919,
fFF,apo,,female ego's father's father,,,Kroeber1919,
fFM,apo,,female ego's father's mother,,,Kroeber1919,
fMF,apo,,female ego's mother's father,,,Kroeber1919,
fMM,apo,,female ego's mother's mother,,,Kroeber1919,
meBS,anak-un,,male ego's older brother's son,,,Kroeber1919,
myBS,anak-un,,male ego's younger brother's son,,,Kroeber1919,
meZS,anak-un,,male ego's older sister's son,,,Kroeber1919,
myZS,anak-un,,male ego's younger sister's son,,,Kroeber1919,
meBD,anak-un,,male ego's older brother's daughter,,,Kroeber1919,
myBD,anak-un,,male ego's younger brother's daughter,,,Kroeber1919,
meZD,anak-un,,male ego's older sister's daughter,,,Kroeber1919,
myZD,anak-un,,male ego's younger sister's daughter,,,Kroeber1919,
feBS,anak-un,,female ego's older brother's son,,,Kroeber1919,
fyBS,anak-un,,female ego's younger brother's son,,,Kroeber1919,
feZS,anak-un,,female ego's older sister's son,,,Kroeber1919,
fyZS,anak-un,,female ego's younger sister's son,,,Kroeber1919,
feBD,anak-un,,female ego's older brother's daughter,,,Kroeber1919,
fyBD,anak-un,,female ego's younger brother's daughter,,,Kroeber1919,
feZD,anak-un,,female ego's older sister's daughter,,,Kroeber1919,
fyZD,anak-un,,female ego's younger sister's daughter,,,Kroeber1919,
mFeZ,"babu, ina-han",,male ego's father's older sister,,,Kroeber1919,
mFyZ,"babu, ina-han",,male ego's father's younger sister,,,Kroeber1919,
mMeZ,"babu, ina-han",,male ego's mother's older sister,,,Kroeber1919,
mMyZ,"babu, ina-han",,male ego's mother's younger sister,,,Kroeber1919,
fFeZ,"babu, ina-han",,female ego's father's older sister,,,Kroeber1919,
fFyZ,"babu, ina-han",,female ego's father's younger sister,,,Kroeber1919,
fMeZ,"babu, ina-han",,female ego's mother's older sister,,,Kroeber1919,
fMyZ,"babu, ina-han",,female ego's mother's younger sister,,,Kroeber1919,
mFBS,"tüngud, tǔngǔd, tungut",,male ego's father's brother's son,,,Kroeber1919,
mFZS,"tüngud, tǔngǔd, tungut",,male ego's father's sister's son,,,Kroeber1919,
mMBS,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's son,,,Kroeber1919,
mMZS,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's son,,,Kroeber1919,
mFBD,"tüngud, tǔngǔd, tungut",,male ego's father's brother's daughter,,,Kroeber1919,
mFZD,"tüngud, tǔngǔd, tungut",,male ego's father's sister's daughter,,,Kroeber1919,
mMBD,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's daughter,,,Kroeber1919,
mMZD,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's daughter,,,Kroeber1919,
fFBS,"tüngud, tǔngǔd, tungut",,female ego's father's brother's son,,,Kroeber1919,
fFZS,"tüngud, tǔngǔd, tungut",,female ego's father's sister's son,,,Kroeber1919,
fMBS,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's son,,,Kroeber1919,
fMZS,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's son,,,Kroeber1919,
fFBD,"tüngud, tǔngǔd, tungut",,female ego's father's brother's daughter,,,Kroeber1919,
fFZD,"tüngud, tǔngǔd, tungut",,female ego's father's sister's daughter,,,Kroeber1919,
fMBD,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's daughter,,,Kroeber1919,
fMZD,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's daughter,,,Kroeber1919,
mFeBS,"tüngud, tǔngǔd, tungut",,male ego's father's brother's son,,,Kroeber1919,Inferred; NA
mFyBS,"tüngud, tǔngǔd, tungut",,male ego's father's brother's son,,,Kroeber1919,Inferred; NA
mFeZS,"tüngud, tǔngǔd, tungut",,male ego's father's sister's son,,,Kroeber1919,Inferred; NA
mFyZS,"tüngud, tǔngǔd, tungut",,male ego's father's sister's son,,,Kroeber1919,Inferred; NA
mFeBD,"tüngud, tǔngǔd, tungut",,male ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
mFyBD,"tüngud, tǔngǔd, tungut",,male ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
mFeZD,"tüngud, tǔngǔd, tungut",,male ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
mFyZD,"tüngud, tǔngǔd, tungut",,male ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
mMeBS,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's son,,,Kroeber1919,Inferred; NA
mMyBS,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's son,,,Kroeber1919,Inferred; NA
mMeZS,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's son,,,Kroeber1919,Inferred; NA
mMyZS,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's son,,,Kroeber1919,Inferred; NA
mMeBD,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
mMyBD,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
mMeZD,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
mMyZD,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
mFBeS,"tüngud, tǔngǔd, tungut",,male ego's father's brother's son,,,Kroeber1919,Inferred; NA
mFByS,"tüngud, tǔngǔd, tungut",,male ego's father's brother's son,,,Kroeber1919,Inferred; NA
mFZeS,"tüngud, tǔngǔd, tungut",,male ego's father's sister's son,,,Kroeber1919,Inferred; NA
mFZyS,"tüngud, tǔngǔd, tungut",,male ego's father's sister's son,,,Kroeber1919,Inferred; NA
mFBeD,"tüngud, tǔngǔd, tungut",,male ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
mFByD,"tüngud, tǔngǔd, tungut",,male ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
mFZeD,"tüngud, tǔngǔd, tungut",,male ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
mFZyD,"tüngud, tǔngǔd, tungut",,male ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
mMBeS,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's son,,,Kroeber1919,Inferred; NA
mMByS,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's son,,,Kroeber1919,Inferred; NA
mMZeS,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's son,,,Kroeber1919,Inferred; NA
mMZyS,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's son,,,Kroeber1919,Inferred; NA
mMBeD,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
mMByD,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
mMZeD,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
mMZyD,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
fFeBS,"tüngud, tǔngǔd, tungut",,female ego's father's brother's son,,,Kroeber1919,Inferred; NA
fFyBS,"tüngud, tǔngǔd, tungut",,female ego's father's brother's son,,,Kroeber1919,Inferred; NA
fFeZS,"tüngud, tǔngǔd, tungut",,female ego's father's sister's son,,,Kroeber1919,Inferred; NA
fFyZS,"tüngud, tǔngǔd, tungut",,female ego's father's sister's son,,,Kroeber1919,Inferred; NA
fFeBD,"tüngud, tǔngǔd, tungut",,female ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
fFyBD,"tüngud, tǔngǔd, tungut",,female ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
fFeZD,"tüngud, tǔngǔd, tungut",,female ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
fFyZD,"tüngud, tǔngǔd, tungut",,female ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
fMeBS,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's son,,,Kroeber1919,Inferred; NA
fMyBS,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's son,,,Kroeber1919,Inferred; NA
fMeZS,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's son,,,Kroeber1919,Inferred; NA
fMyZS,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's son,,,Kroeber1919,Inferred; NA
fMeBD,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
fMyBD,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
fMeZD,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
fMyZD,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
fFBeS,"tüngud, tǔngǔd, tungut",,female ego's father's brother's son,,,Kroeber1919,Inferred; NA
fFByS,"tüngud, tǔngǔd, tungut",,female ego's father's brother's son,,,Kroeber1919,Inferred; NA
fFZeS,"tüngud, tǔngǔd, tungut",,female ego's father's sister's son,,,Kroeber1919,Inferred; NA
fFZyS,"tüngud, tǔngǔd, tungut",,female ego's father's sister's son,,,Kroeber1919,Inferred; NA
fFBeD,"tüngud, tǔngǔd, tungut",,female ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
fFByD,"tüngud, tǔngǔd, tungut",,female ego's father's brother's daughter,,,Kroeber1919,Inferred; NA
fFZeD,"tüngud, tǔngǔd, tungut",,female ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
fFZyD,"tüngud, tǔngǔd, tungut",,female ego's father's sister's daughter,,,Kroeber1919,Inferred; NA
fMBeS,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's son,,,Kroeber1919,Inferred; NA
fMByS,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's son,,,Kroeber1919,Inferred; NA
fMZeS,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's son,,,Kroeber1919,Inferred; NA
fMZyS,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's son,,,Kroeber1919,Inferred; NA
fMBeD,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
fMByD,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's daughter,,,Kroeber1919,Inferred; NA
fMZeD,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
fMZyD,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's daughter,,,Kroeber1919,Inferred; NA
