"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","aka",,"male ego's older brother",,,,
"myB","andi",,"male ego's younger brother",,,,
"feB","aka",,"female ego's older brother",,,,
"fyB","andi",,"female ego's younger brother",,,,
"meZ","aka",,"male ego's older sister",,,,
"myZ","andi",,"male ego's younger sister",,,,
"feZ","aka",,"female ego's older sister",,,,
"fyZ","andi",,"female ego's younger sister",,,,
"mF","ama",,"male ego's father",,,,
"mM","ina",,"male ego's mother",,,,
"fF","ama",,"female ego's father",,,,
"fM","ina",,"female ego's mother",,,,
"mS","ana",,"male ego's son",,,,
"fS","ana",,"female ego's son",,,,
"mD","ana",,"male ego's daughter",,,,
"fD","ana",,"female ego's daughter",,,,
"mSS","ue",,"male ego's son's son",,,,
"mSD","ue",,"male ego's son's daughter",,,,
"mDS","ue",,"male ego's daughter's son",,,,
"mDD","ue",,"male ego's daughter's daughter",,,,
"fSS","ue",,"female ego's son's son",,,,
"fSD","ue",,"female ego's son's daughter",,,,
"fDS","ue",,"female ego's daughter's son",,,,
"fDD","ue",,"female ego's daugher's daughter",,,,
"mFF","ue",,"male ego's father‘s father",,,,
"mFM","ue",,"male ego's father's mother",,,,
"mMF","ue",,"male ego's mother's father",,,,
"mMM","ue",,"male ego's mother's mother",,,,
"fFF","ue",,"female ego's father's father",,,,
"fFM","ue",,"female ego's father's mother",,,,
"fMF","ue",,"female ego's mother's father",,,,
"fMM","ue",,"female ego's mother's mother",,,,
"mFeB","maama",,"male ego's father's older brother",,,,
"mFyB","maama",,"male ego's father's younger brother",,,,
"mFeZ","indo",,"male ego's father's older sister",,,,
"mFyZ","indo",,"male ego's father's younger sister",,,,
"mMeB","maama",,"male ego's mother's older brother",,,,
"mMyB","maama",,"male ego's mother's younger brother",,,,
"mMeZ","indo",,"male ego's mother's older sister",,,,
"mMyZ","indo",,"male ego's mother's younger sister",,,,
"fFeB","maama",,"female ego's father's older brother",,,,
"fFyB","maama",,"female ego's father's younger brother",,,,
"fFeZ","indo",,"female ego's father's older sister",,,,
"fFyZ","indo",,"female ego's father's younger sister",,,,
"fMeB","maama",,"female ego's mother's older brother",,,,
"fMyB","maama",,"female ego's mother's younger brother",,,,
"fMeZ","indo",,"female ego's mother's older sister",,,,
"fMyZ","indo",,"female ego's mother's younger sister",,,,
"mW","sombori",,"male ego's wife",,,,
"fH","sombori",,"female ego‘s husband",,,,
