parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"tukka, itáita",,male ego's older brother,,,Himmelmann2001,
myB,tuali,,male ego's younger brother,,,Himmelmann2001,
feB,"tukka, itáita",,female ego's older brother,,,Himmelmann2001,
fyB,tuali,,female ego's younger brother,,,Himmelmann2001,
meZ,"tukka, itáita",,male ego's older sister,,,Himmelmann2001,
myZ,tuali,,male ego's younger sister,,,Himmelmann2001,
feZ,"tukka, itáita",,female ego's older sister,,,Himmelmann2001,
fyZ,tuali,,female ego's younger sister,,,Himmelmann2001,
mF,amang ko-,,male ego's father,,,Himmelmann2001,
mM,inang ko-,,male ego's mother,,,Himmelmann2001,
fF,amang ko-,,female ego's father,,,Himmelmann2001,
fM,inang ko-,,female ego's mother,,,Himmelmann2001,
mS,anak,,male ego's son,,,Himmelmann2001,
fS,anak,,female ego's son,,,Himmelmann2001,
mD,anak,,male ego's daughter,,,Himmelmann2001,
fD,anak,,female ego's daughter,,,Himmelmann2001,
mSS,pium,,male ego's son's son,,,Himmelmann2001,
mSD,pium,,male ego's son's daughter,,,Himmelmann2001,
mDS,pium,,male ego's daughter's son,,,Himmelmann2001,
mDD,pium,,male ego's daughter's daughter,,,Himmelmann2001,
fSS,pium,,female ego's son's son,,,Himmelmann2001,
fSD,pium,,female ego's son's daughter,,,Himmelmann2001,
fDS,pium,,female ego's daughter's son,,,Himmelmann2001,
fDD,pium,,female ego's daugher's daughter,,,Himmelmann2001,
mFF,"sikai, kakai",,male ego's father‘s father,,,Himmelmann2001,
mFM,bakele,,male ego's father's mother,,,Himmelmann2001,
mMF,"sikai, kakai",,male ego's mother's father,,,Himmelmann2001,
mMM,bakele,,male ego's mother's mother,,,Himmelmann2001,
fFF,"sikai, kakai",,female ego's father's father,,,Himmelmann2001,
fFM,bakele,,female ego's father's mother,,,Himmelmann2001,
fMF,"sikai, kakai",,female ego's mother's father,,,Himmelmann2001,
fMM,bakele,,female ego's mother's mother,,,Himmelmann2001,
meBS,poguanakan,,male ego's older brother's son,,,Himmelmann2001,
myBS,poguanakan,,male ego's younger brother's son,,,Himmelmann2001,
meZS,poguanakan,,male ego's older sister's son,,,Himmelmann2001,
myZS,poguanakan,,male ego's younger sister's son,,,Himmelmann2001,
meBD,poguanakan,,male ego's older brother's daughter,,,Himmelmann2001,
myBD,poguanakan,,male ego's younger brother's daughter,,,Himmelmann2001,
meZD,poguanakan,,male ego's older sister's daughter,,,Himmelmann2001,
myZD,poguanakan,,male ego's younger sister's daughter,,,Himmelmann2001,
feBS,poguanakan,,female ego's older brother's son,,,Himmelmann2001,
fyBS,poguanakan,,female ego's younger brother's son,,,Himmelmann2001,
feZS,poguanakan,,female ego's older sister's son,,,Himmelmann2001,
fyZS,poguanakan,,female ego's younger sister's son,,,Himmelmann2001,
feBD,poguanakan,,female ego's older brother's daughter,,,Himmelmann2001,
fyBD,poguanakan,,female ego's younger brother's daughter,,,Himmelmann2001,
feZD,poguanakan,,female ego's older sister's daughter,,,Himmelmann2001,
fyZD,poguanakan,,female ego's younger sister's daughter,,,Himmelmann2001,
mFeB,"poguamangan, amang dako",,male ego's father's older brother,,,Himmelmann2001,
mFyB,"poguamangan, amang ddek",,male ego's father's younger brother,,,Himmelmann2001,
mFeZ,"poguinangan, poginangan, inang dako",,male ego's father's older sister,,,Himmelmann2001,
mFyZ,"poguinangan, poginangan, inang ddek",,male ego's father's younger sister,,,Himmelmann2001,
mMeB,"poguamangan, amang dako",,male ego's mother's older brother,,,Himmelmann2001,
mMyB,"poguamangan, amang ddek",,male ego's mother's younger brother,,,Himmelmann2001,
mMeZ,"poguinangan, poginangan, inang dako",,male ego's mother's older sister,,,Himmelmann2001,
mMyZ,"poguinangan, poginangan, inang ddek",,male ego's mother's younger sister,,,Himmelmann2001,
fFeB,"poguamangan, amang dako",,female ego's father's older brother,,,Himmelmann2001,
fFyB,"poguamangan, amang ddek",,female ego's father's younger brother,,,Himmelmann2001,
