"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","kapatid",,"male ego's older brother",,,,
"myB","kapatid",,"male ego's younger brother",,,,
"feB","kapatid",,"female ego's older brother",,,,
"fyB","kapatid",,"female ego's younger brother",,,,
"mF","ama",,"male ego's father",,,,
"mM","ina",,"male ego's mother",,,,
"fF","ama",,"female ego's father",,,,
"fM","ina",,"female ego's mother",,,,
"mS","anak",,"male ego's son",,,,
"fS","anak",,"female ego's son",,,,
"mD","anak",,"male ego's daughter",,,,
"fD","anak",,"female ego's daughter",,,,
"mFF","apo",,"male ego's father‘s father",,,,
"mFM","bai",,"male ego's father's mother",,,,
"mMF","apo",,"male ego's mother's father",,,,
"mMM","bai",,"male ego's mother's mother",,,,
"fFF","apo",,"female ego's father's father",,,,
"fFM","bai",,"female ego's father's mother",,,,
"fMF","apo",,"female ego's mother's father",,,,
"fMM","bai",,"female ego's mother's mother",,,,
"meBS","kamanakin",,"male ego's older brother's son",,,,
"myBS","kamanakin",,"male ego's younger brother's son",,,,
"meZS","kamanakin",,"male ego's older sister's son",,,,
"myZS","kamanakin",,"male ego's younger sister's son",,,,
"feBS","kamanakin",,"female ego's older brother's son",,,,
"fyBS","kamanakin",,"female ego's younger brother's son",,,,
"feZS","kamanakin",,"female ego's older sister's son",,,,
"fyZS","kamanakin",,"female ego's younger sister's son",,,,
"mFeB","amiy",,"male ego's father's older brother",,,,
"mFyB","amiy",,"male ego's father's younger brother",,,,
"mFeZ","iniy",,"male ego's father's older sister",,,,
"mFyZ","iniy",,"male ego's father's younger sister",,,,
"mMeB","amiy",,"male ego's mother's older brother",,,,
"mMyB","amiy",,"male ego's mother's younger brother",,,,
"mMeZ","iniy",,"male ego's mother's older sister",,,,
"mMyZ","iniy",,"male ego's mother's younger sister",,,,
"fFeB","amiy",,"female ego's father's older brother",,,,
"fFyB","amiy",,"female ego's father's younger brother",,,,
"fFeZ","iniy",,"female ego's father's older sister",,,,
"fFyZ","iniy",,"female ego's father's younger sister",,,,
"fMeB","amiy",,"female ego's mother's older brother",,,,
"fMyB","amiy",,"female ego's mother's younger brother",,,,
"fMeZ","iniy",,"female ego's mother's older sister",,,,
"fMyZ","iniy",,"female ego's mother's younger sister",,,,
"mDH","minihad",,"male ego's daughter's husband",,,,
"fDH","minihad",,"female ego's daughter's husband",,,,
"mSW","minihad",,"male ego's son's wife",,,,
"fSW","minihad",,"female ego's son's wife",,,,
"mWF","punyangan",,"male ego's wife's father",,,,
"mWM","punyangan",,"male ego's wife's mother",,,,
"mWB","bayaw",,"male ego's wife's brother",,,,
"mWZ","ipag",,"male ego's wife's sister",,,,
"fHF","punyangan",,"female ego's husband's father",,,,
"fHM","punyangan",,"female ego's husband's mother",,,,
"fHB","bayaw",,"female ego's husband's brother",,,,
"fHZ","ipag",,"female ego's husband's sister",,,,
"mBW","ipag",,"male ego's brother's wife",,,,
"fBW","ipag",,"female ego's brother's wife",,,,
"mZH","bayaw",,"male ego's sister's husband",,,,
"fZH","bayaw",,"female ego's sister's husband",,,,
"mFBS","ilog, tungal",,"male ego's father's brother's son",,,,
"mFZS","ilog, tungal",,"male ego's father's sister's son",,,,
"mMBS","ilog, tungal",,"male ego's mother's brother's son",,,,
"mMZS","ilog, tungal",,"male ego's mother's sister's son",,,,
"mFBD","ilog, tungal",,"male ego's father's brother's daughter",,,,
"mFZD","ilog, tungal",,"male ego's father's sister's daughter",,,,
"mMBD","ilog, tungal",,"male ego's mother's brother's daughter",,,,
"mMZD","ilog, tungal",,"male ego's mother's sister's daughter",,,,
"fFBS","ilog, tungal",,"female ego's father's brother's son",,,,
"fFZS","ilog, tungal",,"female ego's father's sister's son",,,,
"fMBS","ilog, tungal",,"female ego's mother's brother's son",,,,
"fMZS","ilog, tungal",,"female ego's mother's sister's son",,,,
"fFBD","ilog, tungal",,"female ego's father's brother's daughter",,,,
"fFZD","ilog, tungal",,"female ego's father's sister's daughter",,,,
"fMBD","ilog, tungal",,"female ego's mother's brother's daughter",,,,
"fMZD","ilog, tungal",,"female ego's mother's sister's daughter",,,,
"mFeBS","ilog, tungal",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFyBS","ilog, tungal",,"male ego's father's brother's son",,,,"Inferred; NA"
