"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","p̄ia*",,"male ego's older brother",,,,
"myB","p̄ia*",,"male ego's younger brother",,,,
"feB","kaka",,"female ego's older brother",,,,
"fyB","kaka",,"female ego's younger brother",,,,
"meZ","kaka",,"male ego's older sister",,,,
"myZ","kaka",,"male ego's younger sister",,,,
"feZ","p̄ia*",,"female ego's older sister",,,,
"fyZ","p̄ia*",,"female ego's younger sister",,,,
"mF","tɨm",,"male ego's father",,,,
"mM","itɨ",,"male ego's mother",,,,
"fF","tɨm",,"female ego's father",,,,
"fM","itɨ",,"female ego's mother",,,,
"mS","nətɨ*",,"male ego's son",,,,
"fS","nətɨ*",,"female ego's son",,,,
"mD","nətɨ*",,"male ego's daughter",,,,
"fD","nətɨ*",,"female ego's daughter",,,,
"mSS","m̄ipɨ",,"male ego's son's son",,,,
"mSD","m̄ipɨ",,"male ego's son's daughter",,,,
"mDS","m̄ipɨ",,"male ego's daughter's son",,,,
"mDD","m̄ipɨ",,"male ego's daughter's daughter",,,,
"fSS","m̄ipɨ",,"female ego's son's son",,,,
"fSD","m̄ipɨ",,"female ego's son's daughter",,,,
"fDS","m̄ipɨ",,"female ego's daughter's son",,,,
"fDD","m̄ipɨ",,"female ego's daugher's daughter",,,,
"mFF","tipɨ",,"male ego's father‘s father",,,,
"mFM","tipɨ",,"male ego's father's mother",,,,
"mMF","tipɨ",,"male ego's mother's father",,,,
"mMM","tipɨ",,"male ego's mother's mother",,,,
"fFF","tipɨ",,"female ego's father's father",,,,
"fFM","tipɨ",,"female ego's father's mother",,,,
"fMF","tipɨ",,"female ego's mother's father",,,,
"fMM","tipɨ",,"female ego's mother's mother",,,,
"mFeB","u*",,"male ego's father's older brother",,,,
"mFyB","u*",,"male ego's father's younger brother",,,,
"fFeB","u*",,"female ego's father's older brother",,,,
"fFyB","u*",,"female ego's father's younger brother",,,,
"mW","pɨtan",,"male ego's wife",,,,
"fH","yerman",,"female ego‘s husband",,,,
"mWF","u*",,"male ego's wife's father",,,,
"fHF","u*",,"female ego's husband's father",,,,
"fHZ","neiwə*",,"female ego's husband's sister",,,,
"fBW","neiwə*",,"female ego's brother's wife",,,,
"mFBS","p̄ia* kalɨn",,"male ego's father's brother's son",,,,
"mFZS","rəh *iel",,"male ego's father's sister's son",,,,
"mMBS","rəh *iel",,"male ego's mother's brother's son",,,,
"mMZS","p̄ia* kalɨn",,"male ego's mother's sister's son",,,,
"mFBD","kaka",,"male ego's father's brother's daughter",,,,
"mFZD","rəh *iel",,"male ego's father's sister's daughter",,,,
"mMBD","rəh *iel",,"male ego's mother's brother's daughter",,,,
"mMZD","kaka",,"male ego's mother's sister's daughter",,,,
"fFBS","kaka",,"female ego's father's brother's son",,,,
"fFZS","rəh *iel",,"female ego's father's sister's son",,,,
"fMBS","rəh *iel",,"female ego's mother's brother's son",,,,
"fMZS","kaka",,"female ego's mother's sister's son",,,,
"fFBD","p̄ia* kalɨn, neiwə*",,"female ego's father's brother's daughter",,,,
"fFZD","rəh *iel",,"female ego's father's sister's daughter",,,,
"fMBD","rəh *iel",,"female ego's mother's brother's daughter",,,,
"fMZD","p̄ia* kalɨn, neiwə*",,"female ego's mother's sister's daughter",,,,
"mFeBS","p̄ia* kalɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFyBS","p̄ia* kalɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFeZS","rəh *iel",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFyZS","rəh *iel",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFeBD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFyBD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFeZD","rəh *iel",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFyZD","rəh *iel",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMeBS","rəh *iel",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMyBS","rəh *iel",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMeZS","p̄ia* kalɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMyZS","p̄ia* kalɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMeBD","rəh *iel",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMyBD","rəh *iel",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMeZD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMyZD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mFBeS","p̄ia* kalɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFByS","p̄ia* kalɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFZeS","rəh *iel",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFZyS","rəh *iel",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFBeD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFByD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFZeD","rəh *iel",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFZyD","rəh *iel",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMBeS","rəh *iel",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMByS","rəh *iel",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMZeS","p̄ia* kalɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMZyS","p̄ia* kalɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMBeD","rəh *iel",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMByD","rəh *iel",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMZeD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMZyD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"fFeBS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFyBS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFeZS","rəh *iel",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFyZS","rəh *iel",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFeBD","p̄ia* kalɨn, neiwə*",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFyBD","p̄ia* kalɨn, neiwə*",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFeZD","rəh *iel",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFyZD","rəh *iel",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMeBS","rəh *iel",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMyBS","rəh *iel",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMeZS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMyZS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMeBD","rəh *iel",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMyBD","rəh *iel",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMeZD","p̄ia* kalɨn, neiwə*",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fMyZD","p̄ia* kalɨn, neiwə*",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fFBeS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFByS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFZeS","rəh *iel",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFZyS","rəh *iel",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFBeD","p̄ia* kalɨn, neiwə*",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFByD","p̄ia* kalɨn, neiwə*",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFZeD","rəh *iel",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFZyD","rəh *iel",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMBeS","rəh *iel",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMByS","rəh *iel",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMZeS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMZyS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMBeD","rəh *iel",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMByD","rəh *iel",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMZeD","p̄ia* kalɨn, neiwə*",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fMZyD","p̄ia* kalɨn, neiwə*",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
