parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,utod,,male ego's older brother,,,Elkins1984,
myB,utod,,male ego's younger brother,,,Elkins1984,
feB,utod,,female ego's older brother,,,Elkins1984,
fyB,utod,,female ego's younger brother,,,Elkins1984,
meZ,utod,,male ego's older sister,,,Elkins1984,
myZ,utod,,male ego's younger sister,,,Elkins1984,
feZ,utod,,female ego's older sister,,,Elkins1984,
fyZ,utod,,female ego's younger sister,,,Elkins1984,
mF,amay,,male ego's father,,,Elkins1984,
mM,iloy,,male ego's mother,,,Elkins1984,
fF,amay,,female ego's father,,,Elkins1984,
fM,iloy,,female ego's mother,,,Elkins1984,
mS,bataq,,male ego's son,,,Elkins1984,
fS,bataq,,female ego's son,,,Elkins1984,
mD,bataq,,male ego's daughter,,,Elkins1984,
fD,bataq,,female ego's daughter,,,Elkins1984,
mSS,apo,,male ego's son's son,,,Elkins1984,
mSD,apo,,male ego's son's daughter,,,Elkins1984,
mDS,apo,,male ego's daughter's son,,,Elkins1984,
mDD,apo,,male ego's daughter's daughter,,,Elkins1984,
fSS,apo,,female ego's son's son,,,Elkins1984,
fSD,apo,,female ego's son's daughter,,,Elkins1984,
fDS,apo,,female ego's daughter's son,,,Elkins1984,
fDD,apo,,female ego's daugher's daughter,,,Elkins1984,
mFF,lolo,,male ego's father‘s father,,,Elkins1984,
mFM,lola,,male ego's father's mother,,,Elkins1984,
mMF,lolo,,male ego's mother's father,,,Elkins1984,
mMM,lola,,male ego's mother's mother,,,Elkins1984,
fFF,lolo,,female ego's father's father,,,Elkins1984,
fFM,lola,,female ego's father's mother,,,Elkins1984,
fMF,lolo,,female ego's mother's father,,,Elkins1984,
fMM,lola,,female ego's mother's mother,,,Elkins1984,
meBS,hinablos,,male ego's older brother's son,,,Elkins1984,
myBS,hinablos,,male ego's younger brother's son,,,Elkins1984,
meZS,hinablos,,male ego's older sister's son,,,Elkins1984,
myZS,hinablos,,male ego's younger sister's son,,,Elkins1984,
meBD,hinablos,,male ego's older brother's daughter,,,Elkins1984,
myBD,hinablos,,male ego's younger brother's daughter,,,Elkins1984,
meZD,hinablos,,male ego's older sister's daughter,,,Elkins1984,
myZD,hinablos,,male ego's younger sister's daughter,,,Elkins1984,
feBS,hinablos,,female ego's older brother's son,,,Elkins1984,
fyBS,hinablos,,female ego's younger brother's son,,,Elkins1984,
feZS,hinablos,,female ego's older sister's son,,,Elkins1984,
fyZS,hinablos,,female ego's younger sister's son,,,Elkins1984,
feBD,hinablos,,female ego's older brother's daughter,,,Elkins1984,
fyBD,hinablos,,female ego's younger brother's daughter,,,Elkins1984,
feZD,hinablos,,female ego's older sister's daughter,,,Elkins1984,
fyZD,hinablos,,female ego's younger sister's daughter,,,Elkins1984,
mFeB,tiyo,,male ego's father's older brother,,,Elkins1984,
mFyB,tiyo,,male ego's father's younger brother,,,Elkins1984,
mFeZ,tiya,,male ego's father's older sister,,,Elkins1984,
mFyZ,tiya,,male ego's father's younger sister,,,Elkins1984,
mMeB,tiyo,,male ego's mother's older brother,,,Elkins1984,
mMyB,tiyo,,male ego's mother's younger brother,,,Elkins1984,
mMeZ,tiya,,male ego's mother's older sister,,,Elkins1984,
mMyZ,tiya,,male ego's mother's younger sister,,,Elkins1984,
fFeB,tiyo,,female ego's father's older brother,,,Elkins1984,
fFyB,tiyo,,female ego's father's younger brother,,,Elkins1984,
fFeZ,tiya,,female ego's father's older sister,,,Elkins1984,
fFyZ,tiya,,female ego's father's younger sister,,,Elkins1984,
fMeB,tiyo,,female ego's mother's older brother,,,Elkins1984,
fMyB,tiyo,,female ego's mother's younger brother,,,Elkins1984,
fMeZ,tiya,,female ego's mother's older sister,,,Elkins1984,
fMyZ,tiya,,female ego's mother's younger sister,,,Elkins1984,
mW,asawa,,male ego's wife,,,Elkins1984,
fH,bana,,female ego‘s husband,,,Elkins1984,
mDH,umagad,,male ego's daughter's husband,,,Elkins1984,
fDH,umagad,,female ego's daughter's husband,,,Elkins1984,
mSW,umagad,,male ego's son's wife,,,Elkins1984,
fSW,umagad,,female ego's son's wife,,,Elkins1984,
mWF,ugangan,,male ego's wife's father,,,Elkins1984,
mWM,ugangan,,male ego's wife's mother,,,Elkins1984,
mWB,bayaw,,male ego's wife's brother,,,Elkins1984,
mWZ,bayaw,,male ego's wife's sister,,,Elkins1984,
fHF,ugangan,,female ego's husband's father,,,Elkins1984,
fHM,ugangan,,female ego's husband's mother,,,Elkins1984,
fHB,bayaw,,female ego's husband's brother,,,Elkins1984,
fHZ,bayaw,,female ego's husband's sister,,,Elkins1984,
mBW,bayaw,,male ego's brother's wife,,,Elkins1984,
fBW,bayaw,,female ego's brother's wife,,,Elkins1984,
mZH,bayaw,,male ego's sister's husband,,,Elkins1984,
fZH,bayaw,,female ego's sister's husband,,,Elkins1984,
mFBS,pakaqisa,,male ego's father's brother's son,,,Elkins1984,
mFZS,pakaqisa,,male ego's father's sister's son,,,Elkins1984,
mMBS,pakaqisa,,male ego's mother's brother's son,,,Elkins1984,
mMZS,pakaqisa,,male ego's mother's sister's son,,,Elkins1984,
mFBD,pakaqisa,,male ego's father's brother's daughter,,,Elkins1984,
mFZD,pakaqisa,,male ego's father's sister's daughter,,,Elkins1984,
mMBD,pakaqisa,,male ego's mother's brother's daughter,,,Elkins1984,
mMZD,pakaqisa,,male ego's mother's sister's daughter,,,Elkins1984,
fFBS,pakaqisa,,female ego's father's brother's son,,,Elkins1984,
fFZS,pakaqisa,,female ego's father's sister's son,,,Elkins1984,
fMBS,pakaqisa,,female ego's mother's brother's son,,,Elkins1984,
fMZS,pakaqisa,,female ego's mother's sister's son,,,Elkins1984,
fFBD,pakaqisa,,female ego's father's brother's daughter,,,Elkins1984,
fFZD,pakaqisa,,female ego's father's sister's daughter,,,Elkins1984,
fMBD,pakaqisa,,female ego's mother's brother's daughter,,,Elkins1984,
fMZD,pakaqisa,,female ego's mother's sister's daughter,,,Elkins1984,
mFeBS,pakaqisa,,male ego's father's brother's son,,,Elkins1984,Inferred; NA
mFyBS,pakaqisa,,male ego's father's brother's son,,,Elkins1984,Inferred; NA
mFeZS,pakaqisa,,male ego's father's sister's son,,,Elkins1984,Inferred; NA
mFyZS,pakaqisa,,male ego's father's sister's son,,,Elkins1984,Inferred; NA
mFeBD,pakaqisa,,male ego's father's brother's daughter,,,Elkins1984,Inferred; NA
mFyBD,pakaqisa,,male ego's father's brother's daughter,,,Elkins1984,Inferred; NA
mFeZD,pakaqisa,,male ego's father's sister's daughter,,,Elkins1984,Inferred; NA
mFyZD,pakaqisa,,male ego's father's sister's daughter,,,Elkins1984,Inferred; NA
mMeBS,pakaqisa,,male ego's mother's brother's son,,,Elkins1984,Inferred; NA
mMyBS,pakaqisa,,male ego's mother's brother's son,,,Elkins1984,Inferred; NA
mMeZS,pakaqisa,,male ego's mother's sister's son,,,Elkins1984,Inferred; NA
mMyZS,pakaqisa,,male ego's mother's sister's son,,,Elkins1984,Inferred; NA
mMeBD,pakaqisa,,male ego's mother's brother's daughter,,,Elkins1984,Inferred; NA
mMyBD,pakaqisa,,male ego's mother's brother's daughter,,,Elkins1984,Inferred; NA
