"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","kaaka",,"male ego's older brother",,,,
"myB","wari",,"male ego's younger brother",,,,
"feB","kaaka",,"female ego's older brother",,,,
"fyB","wari",,"female ego's younger brother",,,,
"meZ","kaaka",,"male ego's older sister",,,,
"myZ","wari",,"male ego's younger sister",,,,
"feZ","kaaka",,"female ego's older sister",,,,
"fyZ","wari",,"female ego's younger sister",,,,
"mF","ama",,"male ego's father",,,,
"mM","ina",,"male ego's mother",,,,
"fF","ama",,"female ego's father",,,,
"fM","ina",,"female ego's mother",,,,
"mS","anak",,"male ego's son",,,,
"fS","anak",,"female ego's son",,,,
"mD","anak",,"male ego's daughter",,,,
"fD","anak",,"female ego's daughter",,,,
"mSS","inapo",,"male ego's son's son",,,,
"mSD","inapo",,"male ego's son's daughter",,,,
"mDS","inapo",,"male ego's daughter's son",,,,
"mDD","inapo",,"male ego's daughter's daughter",,,,
"fSS","inapo",,"female ego's son's son",,,,
"fSD","inapo",,"female ego's son's daughter",,,,
"fDS","inapo",,"female ego's daughter's son",,,,
"fDD","inapo",,"female ego's daugher's daughter",,,,
"mFF","apo",,"male ego's father‘s father",,,,
"mFM","apo",,"male ego's father's mother",,,,
"mMF","apo",,"male ego's mother's father",,,,
"mMM","apo",,"male ego's mother's mother",,,,
"fFF","apo",,"female ego's father's father",,,,
"fFM","apo",,"female ego's father's mother",,,,
"fMF","apo",,"female ego's mother's father",,,,
"fMM","apo",,"female ego's mother's mother",,,,
"meBS","anaken",,"male ego's older brother's son",,,,
"myBS","anaken",,"male ego's younger brother's son",,,,
"meZS","anaken",,"male ego's older sister's son",,,,
"myZS","anaken",,"male ego's younger sister's son",,,,
"meBD","anaken",,"male ego's older brother's daughter",,,,
"myBD","anaken",,"male ego's younger brother's daughter",,,,
"meZD","anaken",,"male ego's older sister's daughter",,,,
"myZD","anaken",,"male ego's younger sister's daughter",,,,
"feBS","anaken",,"female ego's older brother's son",,,,
"fyBS","anaken",,"female ego's younger brother's son",,,,
"feZS","anaken",,"female ego's older sister's son",,,,
"fyZS","anaken",,"female ego's younger sister's son",,,,
"feBD","anaken",,"female ego's older brother's daughter",,,,
"fyBD","anaken",,"female ego's younger brother's daughter",,,,
"feZD","anaken",,"female ego's older sister's daughter",,,,
"fyZD","anaken",,"female ego's younger sister's daughter",,,,
"mFeB","maran, maraanen",,"male ego's father's older brother",,,,
"mFyB","maran, maraanen",,"male ego's father's younger brother",,,,
"mFeZ","kamnan, kamnanen",,"male ego's father's older sister",,,,
"mFyZ","kamnan, kamnanen",,"male ego's father's younger sister",,,,
"mMeB","maran, maraanen",,"male ego's mother's older brother",,,,
"mMyB","maran, maraanen",,"male ego's mother's younger brother",,,,
"mMeZ","kamnan, kamnanen",,"male ego's mother's older sister",,,,
"mMyZ","kamnan, kamnanen",,"male ego's mother's younger sister",,,,
"fFeB","maran, maraanen",,"female ego's father's older brother",,,,
"fFyB","maran, maraanen",,"female ego's father's younger brother",,,,
"fFeZ","kamnan, kamnanen",,"female ego's father's older sister",,,,
"fFyZ","kamnan, kamnanen",,"female ego's father's younger sister",,,,
"fMeB","maran, maraanen",,"female ego's mother's older brother",,,,
"fMyB","maran, maraanen",,"female ego's mother's younger brother",,,,
"fMeZ","kamnan, kamnanen",,"female ego's mother's older sister",,,,
"fMyZ","kamnan, kamnanen",,"female ego's mother's younger sister",,,,
"mW","kakovot, maysa, kaktex",,"male ego's wife",,,,
"fH","kakovot, maysa, kaktex",,"female ego‘s husband",,,,
"mDH","anaken",,"male ego's daughter's husband",,,,
"fDH","anaken",,"female ego's daughter's husband",,,,
"mSW","anaken",,"male ego's son's wife",,,,
"fSW","anaken",,"female ego's son's wife",,,,
"mWB","katayog, katayogen",,"male ego's wife's brother",,,,
"mWZ","katayog, katayogen",,"male ego's wife's sister",,,,
"fHB","katayog, katayogen",,"female ego's husband's brother",,,,
"fHZ","katayog, katayogen",,"female ego's husband's sister",,,,
"mBW","katayog, katayogen",,"male ego's brother's wife",,,,
"fBW","katayog, katayogen",,"female ego's brother's wife",,,,
"mZH","katayog, katayogen",,"male ego's sister's husband",,,,
"fZH","katayog, katayogen",,"female ego's sister's husband",,,,
"mFBS","kataysa",,"male ego's father's brother's son",,,,
"mFZS","kataysa",,"male ego's father's sister's son",,,,
"mMBS","kataysa",,"male ego's mother's brother's son",,,,
"mMZS","kataysa",,"male ego's mother's sister's son",,,,
"mFBD","kataysa",,"male ego's father's brother's daughter",,,,
"mFZD","kataysa",,"male ego's father's sister's daughter",,,,
"mMBD","kataysa",,"male ego's mother's brother's daughter",,,,
"mMZD","kataysa",,"male ego's mother's sister's daughter",,,,
"fFBS","kataysa",,"female ego's father's brother's son",,,,
"fFZS","kataysa",,"female ego's father's sister's son",,,,
"fMBS","kataysa",,"female ego's mother's brother's son",,,,
"fMZS","kataysa",,"female ego's mother's sister's son",,,,
"fFBD","kataysa",,"female ego's father's brother's daughter",,,,
"fFZD","kataysa",,"female ego's father's sister's daughter",,,,
