"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","chêlo",,"male ego's older brother",,,,
"myB","chêlo",,"male ego's younger brother",,,,
"feB","chêlo",,"female ego's older brother",,,,
"fyB","chêlo",,"female ego's younger brother",,,,
"meZ","chêla",,"male ego's older sister",,,,
"myZ","chêla",,"male ego's younger sister",,,,
"feZ","chêla",,"female ego's older sister",,,,
"fyZ","chêla",,"female ego's younger sister",,,,
"mF","tata",,"male ego's father",,,,
"mM","-nana, madre",,"male ego's mother",,,,
"fF","tata",,"female ego's father",,,,
"fM","-nana, madre",,"female ego's mother",,,,
"mS","laje na patgon",,"male ego's son",,,,
"fS","laje na patgon",,"female ego's son",,,,
"mD","-ija, jaga",,"male ego's daughter",,,,
"fD","-ija, jaga",,"female ego's daughter",,,,
"mSS","nieto",,"male ego's son's son",,,,
"mSD","nieta",,"male ego's son's daughter",,,,
"mDS","nieto",,"male ego's daughter's son",,,,
"mDD","nieta",,"male ego's daughter's daughter",,,,
"fSS","nieto",,"female ego's son's son",,,,
"fSD","nieta",,"female ego's son's daughter",,,,
"fDS","nieto",,"female ego's daughter's son",,,,
"fDD","nieta",,"female ego's daugher's daughter",,,,
"mFF","guelo",,"male ego's father‘s father",,,,
"mFM","guela",,"male ego's father's mother",,,,
"mMF","guelo",,"male ego's mother's father",,,,
"mMM","guela",,"male ego's mother's mother",,,,
"fFF","guelo",,"female ego's father's father",,,,
"fFM","guela",,"female ego's father's mother",,,,
"fMF","guelo",,"female ego's mother's father",,,,
"fMM","guela",,"female ego's mother's mother",,,,
"meBS","sobrino",,"male ego's older brother's son",,,,
"myBS","sobrino",,"male ego's younger brother's son",,,,
"meZS","sobrino",,"male ego's older sister's son",,,,
"myZS","sobrino",,"male ego's younger sister's son",,,,
"meBD","sobrina",,"male ego's older brother's daughter",,,,
"myBD","sobrina",,"male ego's younger brother's daughter",,,,
"meZD","sobrina",,"male ego's older sister's daughter",,,,
"myZD","sobrina",,"male ego's younger sister's daughter",,,,
"feBS","sobrino",,"female ego's older brother's son",,,,
"fyBS","sobrino",,"female ego's younger brother's son",,,,
"feZS","sobrino",,"female ego's older sister's son",,,,
"fyZS","sobrino",,"female ego's younger sister's son",,,,
"feBD","sobrina",,"female ego's older brother's daughter",,,,
"fyBD","sobrina",,"female ego's younger brother's daughter",,,,
"feZD","sobrina",,"female ego's older sister's daughter",,,,
"fyZD","sobrina",,"female ego's younger sister's daughter",,,,
"mFeB","tio",,"male ego's father's older brother",,,,
"mFyB","tio",,"male ego's father's younger brother",,,,
"mFeZ","tía",,"male ego's father's older sister",,,,
"mFyZ","tía",,"male ego's father's younger sister",,,,
"mMeB","tio",,"male ego's mother's older brother",,,,
"mMyB","tio",,"male ego's mother's younger brother",,,,
"mMeZ","tía",,"male ego's mother's older sister",,,,
"mMyZ","tía",,"male ego's mother's younger sister",,,,
"fFeB","tio",,"female ego's father's older brother",,,,
"fFyB","tio",,"female ego's father's younger brother",,,,
"fFeZ","tía",,"female ego's father's older sister",,,,
"fFyZ","tía",,"female ego's father's younger sister",,,,
"fMeB","tio",,"female ego's mother's older brother",,,,
"fMyB","tio",,"female ego's mother's younger brother",,,,
"fMeZ","tía",,"female ego's mother's older sister",,,,
"fMyZ","tía",,"female ego's mother's younger sister",,,,
"mW","aságua",,"male ego's wife",,,,
"fH","esposa",,"female ego‘s husband",,,,
"mWF","suegro",,"male ego's wife's father",,,,
"mWM","suegra",,"male ego's wife's mother",,,,
"mWB","cuñado",,"male ego's wife's brother",,,,
"mWZ","cuñada",,"male ego's wife's sister",,,,
"fHF","suegro",,"female ego's husband's father",,,,
"fHM","suegra",,"female ego's husband's mother",,,,
"fHB","cuñado",,"female ego's husband's brother",,,,
"fHZ","cuñada",,"female ego's husband's sister",,,,
"mBW","cuñada",,"male ego's brother's wife",,,,
"fBW","cuñada",,"female ego's brother's wife",,,,
"mZH","cuñado",,"male ego's sister's husband",,,,
"fZH","cuñado",,"female ego's sister's husband",,,,
"mFBS","primo",,"male ego's father's brother's son",,,,
"mFZS","primo",,"male ego's father's sister's son",,,,
"mMBS","primo",,"male ego's mother's brother's son",,,,
"mMZS","primo",,"male ego's mother's sister's son",,,,
"mFBD","prima",,"male ego's father's brother's daughter",,,,
"mFZD","prima",,"male ego's father's sister's daughter",,,,
"mMBD","prima",,"male ego's mother's brother's daughter",,,,
"mMZD","prima",,"male ego's mother's sister's daughter",,,,
"fFBS","primo",,"female ego's father's brother's son",,,,
"fFZS","primo",,"female ego's father's sister's son",,,,
"fMBS","primo",,"female ego's mother's brother's son",,,,
"fMZS","primo",,"female ego's mother's sister's son",,,,
"fFBD","prima",,"female ego's father's brother's daughter",,,,
"fFZD","prima",,"female ego's father's sister's daughter",,,,
"fMBD","prima",,"female ego's mother's brother's daughter",,,,
"fMZD","prima",,"female ego's mother's sister's daughter",,,,
"mFeBS","primo",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFyBS","primo",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFeZS","primo",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFyZS","primo",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFeBD","prima",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFyBD","prima",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFeZD","prima",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFyZD","prima",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMeBS","primo",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMyBS","primo",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMeZS","primo",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMyZS","primo",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMeBD","prima",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMyBD","prima",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMeZD","prima",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMyZD","prima",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mFBeS","primo",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFByS","primo",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFZeS","primo",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFZyS","primo",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFBeD","prima",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFByD","prima",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFZeD","prima",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFZyD","prima",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMBeS","primo",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMByS","primo",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMZeS","primo",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMZyS","primo",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMBeD","prima",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMByD","prima",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMZeD","prima",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMZyD","prima",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"fFeBS","primo",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFyBS","primo",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFeZS","primo",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFyZS","primo",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFeBD","prima",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFyBD","prima",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFeZD","prima",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFyZD","prima",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMeBS","primo",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMyBS","primo",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMeZS","primo",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMyZS","primo",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMeBD","prima",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMyBD","prima",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMeZD","prima",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fMyZD","prima",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fFBeS","primo",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFByS","primo",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFZeS","primo",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFZyS","primo",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFBeD","prima",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFByD","prima",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFZeD","prima",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFZyD","prima",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMBeS","primo",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMByS","primo",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMZeS","primo",,"female ego's mother's sister's son",,,,"Inferred; NA"
